 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 1.47000000000000E+0000  2.99165044685385E+0003  6.92264369113345E+0002  3.43614516732015E+0003  3.48117210794688E+0003  0.00000000000000E+0000 
 1.50000000000000E+0000  2.98336017452785E+0003  6.94837925900315E+0002  3.43683023507808E+0003  3.48117105254526E+0003  0.00000000000000E+0000 
 1.53000000000000E+0000  2.97420941654866E+0003  6.96822169311338E+0002  3.43745779440343E+0003  3.48116937529651E+0003  0.00000000000000E+0000 
 1.56000000000000E+0000  2.96425346252877E+0003  6.98777577964182E+0002  3.43803413036366E+0003  3.48116716778523E+0003  0.00000000000000E+0000 
 1.59000000000000E+0000  2.95344128229871E+0003  7.00706906115565E+0002  3.43856461806310E+0003  3.48116450743243E+0003  0.00000000000000E+0000 
 1.62000000000000E+0000  2.94200226746874E+0003  7.02612537733614E+0002  3.43905389069503E+0003  3.48116146011080E+0003  0.00000000000000E+0000 
 1.65000000000000E+0000  2.93049500262633E+0003  7.04496550446331E+0002  3.43950597009424E+0003  3.48115808218335E+0003  0.00000000000000E+0000 
 1.68000000000000E+0000  2.91893843796504E+0003  7.06360766127536E+0002  3.43992436947271E+0003  3.48115442211320E+0003  0.00000000000000E+0000 
 1.71000000000000E+0000  2.90735002519512E+0003  7.08206791364028E+0002  3.44031217521234E+0003  3.48115052174951E+0003  0.00000000000000E+0000 
 1.74000000000000E+0000  2.89574531752983E+0003  7.10036050158798E+0002  3.44067211267638E+0003  3.48114641736555E+0003  0.00000000000000E+0000 
 1.77000000000000E+0000  2.88413718070363E+0003  7.11849810605484E+0002  3.44100659967604E+0003  3.48114214050440E+0003  0.00000000000000E+0000 
 1.80000000000000E+0000  2.87253466536430E+0003  7.13649206830228E+0002  3.44131779029380E+0003  3.48113771867394E+0003  0.00000000000000E+0000 
 1.83000000000000E+0000  2.86073663965918E+0003  7.14486374029925E+0002  3.44160761109631E+0003  3.48113317592231E+0003  0.00000000000000E+0000 
 1.86000000000000E+0000  2.84603992114693E+0003  7.15672711228028E+0002  3.44187779128422E+0003  3.48112853331781E+0003  0.00000000000000E+0000 
 1.89000000000000E+0000  2.83427283061277E+0003  7.17162997065597E+0002  3.44212988796907E+0003  3.48112380935159E+0003  0.00000000000000E+0000 
 1.92000000000000E+0000  2.82216047835138E+0003  7.18942670355160E+0002  3.44236530750218E+0003  3.48111902027758E+0003  0.00000000000000E+0000 
 1.95000000000000E+0000  2.80959903635906E+0003  7.20997975312160E+0002  3.44258532358045E+0003  3.48111418040098E+0003  0.00000000000000E+0000 
 1.98000000000000E+0000  2.79637094590491E+0003  7.23315868103345E+0002  3.44279109270260E+0003  3.48110930232426E+0003  0.00000000000000E+0000 
 2.01000000000000E+0000  2.78188314625701E+0003  7.25883936590166E+0002  3.44298366743256E+0003  3.48110439715793E+0003  0.00000000000000E+0000 
 2.04000000000000E+0000  2.76067247681651E+0003  7.28690331083009E+0002  3.44316400783723E+0003  3.48109947470180E+0003  0.00000000000000E+0000 
 2.07000000000000E+0000  2.75092918941108E+0003  7.31723704334557E+0002  3.44333299139509E+0003  3.48109454360157E+0003  0.00000000000000E+0000 
 2.10000000000000E+0000  2.74126663826873E+0003  7.34973159325963E+0002  3.44349142161728E+0003  3.48108961148445E+0003  0.00000000000000E+0000 
 2.13000000000000E+0000  2.73169663677144E+0003  7.38428203658075E+0002  3.44364003557896E+0003  3.48108468507718E+0003  0.00000000000000E+0000 
 2.16000000000000E+0000  2.72223112101735E+0003  7.42078709566809E+0002  3.44377951052364E+0003  3.48107977030885E+0003  0.00000000000000E+0000 
 2.19000000000000E+0000  2.71288209827827E+0003  7.45914878748254E+0002  3.44391046967570E+0003  3.48107487240091E+0003  0.00000000000000E+0000 
 2.22000000000000E+0000  2.70366159462242E+0003  7.49927211313973E+0002  3.44403348737322E+0003  3.48106999594605E+0003  0.00000000000000E+0000 
 2.25000000000000E+0000  2.69458160482535E+0003  7.54106478306767E+0002  3.44414909361519E+0003  3.48106514497756E+0003  0.00000000000000E+0000 
 2.28000000000000E+0000  2.68565404644598E+0003  7.58443697297111E+0002  3.44425777810218E+0003  3.48106032303046E+0003  0.00000000000000E+0000 
 2.31000000000000E+0000  2.67689071912565E+0003  7.62930110654479E+0002  3.44435999383713E+0003  3.48105553319542E+0003  0.00000000000000E+0000 
 2.34000000000000E+0000  2.66721888843327E+0003  7.67557166148956E+0002  3.44445616034278E+0003  3.48105077816654E+0003  0.00000000000000E+0000 
 2.37000000000000E+0000  2.65925290396301E+0003  7.72316499589402E+0002  3.44454666654415E+0003  3.48104606028362E+0003  0.00000000000000E+0000 
 2.40000000000000E+0000  2.65149634493096E+0003  7.77199919246828E+0002  3.44463187335695E+0003  3.48104138156976E+0003  0.00000000000000E+0000 
 2.43000000000000E+0000  2.64394445716403E+0003  7.82199391847191E+0002  3.44471211601755E+0003  3.48103674376480E+0003  0.00000000000000E+0000 
 2.46000000000000E+0000  2.63659259521495E+0003  7.87307029947701E+0002  3.44478770618466E+0003  3.48103214835503E+0003  0.00000000000000E+0000 
 2.49000000000000E+0000  2.62943620119867E+0003  7.92515080536000E+0002  3.44485893383926E+0003  3.48102759659977E+0003  0.00000000000000E+0000 
 2.52000000000000E+0000  2.62247078632335E+0003  7.97815914712905E+0002  3.44492606900533E+0003  3.48102308955510E+0003  0.00000000000000E+0000 
 2.55000000000000E+0000  2.61569191486656E+0003  8.03202018337663E+0002  3.44498936331136E+0003  3.48101862809505E+0003  0.00000000000000E+0000 
 2.58000000000000E+0000  2.60909519035037E+0003  8.08665983530116E+0002  3.44504905140980E+0003  3.48101421293057E+0003  0.00000000000000E+0000 
 2.61000000000000E+0000  2.60267624368029E+0003  8.14200500937513E+0002  3.44510535226961E+0003  3.48100984462661E+0003  0.00000000000000E+0000 
 2.64000000000000E+0000  2.59643072302807E+0003  8.19798352685047E+0002  3.44515847035515E+0003  3.48100552361734E+0003  0.00000000000000E+0000 
 2.67000000000000E+0000  2.59035428525577E+0003  8.25452405939074E+0002  3.44520859670305E+0003  3.48100125021987E+0003  0.00000000000000E+0000 
 2.70000000000000E+0000  2.58444258869659E+0003  8.31155607020390E+0002  3.44525590990729E+0003  3.48099702464662E+0003  0.00000000000000E+0000 
 2.73000000000000E+0000  2.57869128712595E+0003  8.36900976012309E+0002  3.44530057702163E+0003  3.48099284701635E+0003  0.00000000000000E+0000 
 2.76000000000000E+0000  2.57309602477306E+0003  8.42681601814664E+0002  3.44534275438742E+0003  3.48098871736421E+0003  0.00000000000000E+0000 
 2.79000000000000E+0000  2.56765243223973E+0003  8.48490637600361E+0002  3.44538258839384E+0003  3.48098463565066E+0003  0.00000000000000E+0000 
 2.82000000000000E+0000  2.56235604962247E+0003  8.54319457853766E+0002  3.44542021617704E+0003  3.48098060176964E+0003  0.00000000000000E+0000 
 2.85000000000000E+0000  2.55719722902548E+0003  8.60072040956127E+0002  3.44545576626372E+0003  3.48097661555585E+0003  0.00000000000000E+0000 
 2.88000000000000E+0000  2.55216357672463E+0003  8.65695750748535E+0002  3.44548935916435E+0003  3.48097267679136E+0003  0.00000000000000E+0000 
 2.91000000000000E+0000  2.54724484077461E+0003  8.71189198525769E+0002  3.44552110792041E+0003  3.48096878521155E+0003  0.00000000000000E+0000 
 2.94000000000000E+0000  2.54243172333614E+0003  8.76551633923193E+0002  3.44555111860980E+0003  3.48096494051051E+0003  0.00000000000000E+0000 
 2.97000000000000E+0000  2.53771578485194E+0003  8.81782853765394E+0002  3.44557949081401E+0003  3.48096114234587E+0003  0.00000000000000E+0000 
 3.00000000000000E+0000  2.53308935869647E+0003  8.86883122779155E+0002  3.44560631805048E+0003  3.48095739034323E+0003  0.00000000000000E+0000 
